Cell_Name	clone.id	clone.status	patient	sampleType	stype	majorCluster	loc
TTH36-20180123	CRC.P0123_C000002:9	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TP7170-20180123	CRC.P0123_C000002:9	Clonal	P0123	TP7	CD4	CD4_C07-GZMK	T
TTH85-20180123	CRC.P0123_C000002:9	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TTH128-20180123	CRC.P0123_C000002:9	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TP7111-20180123	CRC.P0123_C000002:9	Clonal	P0123	TP7	CD4	CD4_C07-GZMK	T
TP752-20180123	CRC.P0123_C000003:2	Clonal	P0123	TP7	CD4	CD4_C05-CXCR6	T
TP7120-20180123	CRC.P0123_C000002:9	Clonal	P0123	TP7	CD4	CD4_C07-GZMK	T
TTH143-20180123	CRC.P0123_C000003:2	Clonal	P0123	TTH	CD4	CD4_C05-CXCR6	T
TTH106-20180123	CRC.P0123_C000002:9	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TTH108-20180123	CRC.P0123_C000010:1	NoClonal	P0123	TTH	CD4	CD4_C12-CTLA4	T
TP7127-20180123	CRC.P0123_C000012:1	NoClonal	P0123	TP7	CD4	CD4_C02-ANXA1	T
NTC133-20180123	CRC.P0123_C000013:9	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
NTC117-20180123	CRC.P0123_C000013:9	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
NTC13-20180123	CRC.P0123_C000013:9	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
NTC115-20180123	CRC.P0123_C000013:9	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
NTC154-20180123	CRC.P0123_C000013:9	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
NTC76-20180123	CRC.P0123_C000013:9	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
TTR157-20180123	CRC.P0123_C000014:1	NoClonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TP769-20180123	CRC.P0123_C000015:3	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TP730-20180123	CRC.P0123_C000015:3	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TTH145-20180123	CRC.P0123_C000016:1	NoClonal	P0123	TTH	CD4	CD4_C07-GZMK	T
PP7-175-20180123	CRC.P0123_C000017:1	NoClonal	P0123	PP7	CD4	CD4_C02-ANXA1	P
TTH29-20180123	CRC.P0123_C000018:11	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TTH144-20180123	CRC.P0123_C000018:11	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
NTH78-20180123	CRC.P0123_C000018:11	Clonal	P0123	NTH	CD4	CD4_C07-GZMK	N
TP755-20180123	CRC.P0123_C000018:11	Clonal	P0123	TP7	CD4	CD4_C07-GZMK	T
NTH49-20180123	CRC.P0123_C000018:11	Clonal	P0123	NTH	CD4	CD4_C07-GZMK	N
PTH46-20180123	CRC.P0123_C000019:3	Clonal	P0123	PTH	CD4	CD4_C03-GNLY	P
PTH24-20180123	CRC.P0123_C000019:3	Clonal	P0123	PTH	CD4	CD4_C03-GNLY	P
PTC48-20180123	CRC.P0123_C000021:3	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
TTC105-20180123	CRC.P0123_C000021:3	Clonal	P0123	TTC	CD8	CD8_C04-GZMK	T
NTC28-20180123	CRC.P0123_C000022:2	Clonal	P0123	NTC	CD8	CD8_C05-CD6	N
NTC189-20180123	CRC.P0123_C000022:2	Clonal	P0123	NTC	CD8	CD8_C05-CD6	N
TTR100-20180123	CRC.P0123_C000023:3	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TP7183-20180123	CRC.P0123_C000023:3	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TTH28-20180123	CRC.P0123_C000025:8	Clonal	P0123	TTH	CD4	CD4_C09-CXCL13	T
TP7136-20180123	CRC.P0123_C000025:8	Clonal	P0123	TP7	CD4	CD4_C09-CXCL13	T
TTH62-20180123	CRC.P0123_C000025:8	Clonal	P0123	TTH	CD4	CD4_C09-CXCL13	T
TTH93-20180123	CRC.P0123_C000025:8	Clonal	P0123	TTH	CD4	CD4_C09-CXCL13	T
TP764-20180123	CRC.P0123_C000025:8	Clonal	P0123	TP7	CD4	CD4_C09-CXCL13	T
TTH56-20180123	CRC.P0123_C000025:8	Clonal	P0123	TTH	CD4	CD4_C09-CXCL13	T
TTH13-20180123	CRC.P0123_C000025:8	Clonal	P0123	TTH	CD4	CD4_C09-CXCL13	T
NTR26-20180123	CRC.P0123_C000028:1	NoClonal	P0123	NTR	CD4	CD4_C11-IL10	N
NP776-20180123	CRC.P0123_C000029:1	NoClonal	P0123	NP7	CD4	CD4_C04-TCF7	N
TTR24-20180123	CRC.P0123_C000031:5	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR114-20180123	CRC.P0123_C000031:5	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR105-20180123	CRC.P0123_C000031:5	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTC121-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC86-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC117-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC45-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC84-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC150-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC182-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC32-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC122-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC2-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TP7115-20180123	CRC.P0123_C000034:16	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TP756-20180123	CRC.P0123_C000034:16	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TTR147-20180123	CRC.P0123_C000034:16	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR136-20180123	CRC.P0123_C000034:16	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR108-20180123	CRC.P0123_C000034:16	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TP740-20180123	CRC.P0123_C000034:16	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TTR141-20180123	CRC.P0123_C000034:16	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR188-20180123	CRC.P0123_C000034:16	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR158-20180123	CRC.P0123_C000034:16	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR5-20180123	CRC.P0123_C000034:16	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR178-20180123	CRC.P0123_C000034:16	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TP749-20180123	CRC.P0123_C000034:16	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TTR91-20180123	CRC.P0123_C000034:16	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TP713-20180123	CRC.P0123_C000034:16	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
NTC2-20180123	CRC.P0123_C000037:1	NoClonal	P0123	NTC	CD8	CD8_C05-CD6	N
PTC85-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC66-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC26-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC34-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC90-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC18-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC60-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC55-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC87-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC51-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC36-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC94-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC19-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC64-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC4-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC76-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC28-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC2-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC88-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
TTC134-20180123	CRC.P0123_C000040:39	Clonal	P0123	TTC	CD8	CD8_C03-CX3CR1	T
PTC8-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC38-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC93-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC82-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC65-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC27-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC50-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC59-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
TTC109-20180123	CRC.P0123_C000040:39	Clonal	P0123	TTC	CD8	CD8_C04-GZMK	T
PTC83-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC31-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC25-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC3-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC32-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC29-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC15-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC23-20180123	CRC.P0123_C000040:39	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC5-20180123	CRC.P0123_C000044:5	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC44-20180123	CRC.P0123_C000044:5	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
NTC149-20180123	CRC.P0123_C000044:5	Clonal	P0123	NTC	CD8	CD8_C03-CX3CR1	N
NTC90-20180123	CRC.P0123_C000045:1	NoClonal	P0123	NTC	CD8	CD8_C05-CD6	N
TTH140-20180123	CRC.P0123_C000046:1	NoClonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TTR159-20180123	CRC.P0123_C000047:4	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TP739-20180123	CRC.P0123_C000047:4	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TTR148-20180123	CRC.P0123_C000047:4	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
NTC181-20180123	CRC.P0123_C000048:2	Clonal	P0123	NTC	CD8	CD8_C05-CD6	N
NTC114-20180123	CRC.P0123_C000048:2	Clonal	P0123	NTC	CD8	CD8_C05-CD6	N
NTC113-20180123	CRC.P0123_C000052:1	NoClonal	P0123	NTC	CD8	CD8_C05-CD6	N
TP7122-20180123	CRC.P0123_C000053:1	NoClonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
PTH86-20180123	CRC.P0123_C000054:2	Clonal	P0123	PTH	CD4	CD4_C03-GNLY	P
TP7137-20180123	CRC.P0123_C000055:1	NoClonal	P0123	TP7	CD4	CD4_C05-CXCR6	T
TTC35-20180123	CRC.P0123_C000056:5	Clonal	P0123	TTC	CD8	CD8_C04-GZMK	T
PTC53-20180123	CRC.P0123_C000056:5	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC17-20180123	CRC.P0123_C000056:5	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC35-20180123	CRC.P0123_C000056:5	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC61-20180123	CRC.P0123_C000056:5	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
TTC24-20180123	CRC.P0123_C000057:3	Clonal	P0123	TTC	CD8	CD8_C05-CD6	T
TTC186-20180123	CRC.P0123_C000057:3	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
PTR62-20180123	CRC.P0123_C000058:1	NoClonal	P0123	PTR	CD4	CD4_C10-FOXP3	P
NTC112-20180123	CRC.P0123_C000059:1	NoClonal	P0123	NTC	CD8	CD8_C05-CD6	N
NTC73-20180123	CRC.P0123_C000060:1	NoClonal	P0123	NTC	CD8	CD8_C08-SLC4A10	N
PTH50-20180123	CRC.P0123_C000061:1	NoClonal	P0123	PTH	CD4	CD4_C01-CCR7	P
TTH126-20180123	CRC.P0123_C000062:1	NoClonal	P0123	TTH	CD4	CD4_C05-CXCR6	T
TTH19-20180123	CRC.P0123_C000063:27	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TTH23-20180123	CRC.P0123_C000063:27	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TTH119-20180123	CRC.P0123_C000063:27	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TP7165-20180123	CRC.P0123_C000064:5	Clonal	P0123	TP7	CD4	CD4_C07-GZMK	T
TTH76-20180123	CRC.P0123_C000063:27	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TP7187-20180123	CRC.P0123_C000063:27	Clonal	P0123	TP7	CD4	CD4_C07-GZMK	T
TTH15-20180123	CRC.P0123_C000063:27	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TTH157-20180123	CRC.P0123_C000063:27	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
PTH42-20180123	CRC.P0123_C000063:27	Clonal	P0123	PTH	CD4	CD4_C03-GNLY	P
TTH168-20180123	CRC.P0123_C000064:5	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TP781-20180123	CRC.P0123_C000063:27	Clonal	P0123	TP7	CD4	CD4_C07-GZMK	T
TTH86-20180123	CRC.P0123_C000063:27	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TP746-20180123	CRC.P0123_C000063:27	Clonal	P0123	TP7	CD4	CD4_C07-GZMK	T
TTH105-20180123	CRC.P0123_C000063:27	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TTH65-20180123	CRC.P0123_C000063:27	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TTH161-20180123	CRC.P0123_C000063:27	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TP733-20180123	CRC.P0123_C000064:5	Clonal	P0123	TP7	CD4	CD4_C07-GZMK	T
TTH151-20180123	CRC.P0123_C000063:27	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TP7133-20180123	CRC.P0123_C000063:27	Clonal	P0123	TP7	CD4	CD4_C07-GZMK	T
TTH83-20180123	CRC.P0123_C000063:27	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TTH52-20180123	CRC.P0123_C000069:2	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TTH149-20180123	CRC.P0123_C000069:2	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TTC100-20180123	CRC.P0123_C000072:1	NoClonal	P0123	TTC	CD8	CD8_C04-GZMK	T
PTH57-20180123	CRC.P0123_C000073:1	NoClonal	P0123	PTH	CD4	CD4_C01-CCR7	P
NTC177-20180123	CRC.P0123_C000074:1	NoClonal	P0123	NTC	CD8	CD8_C05-CD6	N
TTR138-20180123	CRC.P0123_C000075:9	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR59-20180123	CRC.P0123_C000075:9	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TP742-20180123	CRC.P0123_C000075:9	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TTR98-20180123	CRC.P0123_C000075:9	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR63-20180123	CRC.P0123_C000075:9	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TP750-20180123	CRC.P0123_C000075:9	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TTR101-20180123	CRC.P0123_C000075:9	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR32-20180123	CRC.P0123_C000075:9	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TP744-20180123	CRC.P0123_C000075:9	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
NTC5-20180123	CRC.P0123_C000076:5	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
NTC166-20180123	CRC.P0123_C000076:5	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
NTC139-20180123	CRC.P0123_C000076:5	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
NTC172-20180123	CRC.P0123_C000076:5	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
PTR74-20180123	CRC.P0123_C000079:1	NoClonal	P0123	PTR	CD4	CD4_C01-CCR7	P
TP748-20180123	CRC.P0123_C000080:2	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TTR84-20180123	CRC.P0123_C000080:2	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR93-20180123	CRC.P0123_C000081:1	NoClonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
NTR13-20180123	CRC.P0123_C000082:1	NoClonal	P0123	NTR	CD4	CD4_C04-TCF7	N
NTC147-20180123	CRC.P0123_C000083:3	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
NTC25-20180123	CRC.P0123_C000083:3	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
NTC108-20180123	CRC.P0123_C000083:3	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
TTC166-20180123	CRC.P0123_C000084:5	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC177-20180123	CRC.P0123_C000084:5	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC112-20180123	CRC.P0123_C000084:5	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC144-20180123	CRC.P0123_C000084:5	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
PTH71-20180123	CRC.P0123_C000086:2	Clonal	P0123	PTH	CD4	CD4_C03-GNLY	P
TTH113-20180123	CRC.P0123_C000087:1	NoClonal	P0123	TTH	CD4	CD4_C09-CXCL13	T
PTH16-20180123	CRC.P0123_C000088:1	NoClonal	P0123	PTH	CD4	CD4_C01-CCR7	P
NTC110-20180123	CRC.P0123_C000089:1	NoClonal	P0123	NTC	CD8	CD8_C05-CD6	N
NTH40-20180123	CRC.P0123_C000090:1	NoClonal	P0123	NTH	CD4	CD4_C04-TCF7	N
TTC73-20180123	CRC.P0123_C000091:14	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC133-20180123	CRC.P0123_C000091:14	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC114-20180123	CRC.P0123_C000091:14	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC43-20180123	CRC.P0123_C000091:14	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC119-20180123	CRC.P0123_C000091:14	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC173-20180123	CRC.P0123_C000091:14	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC137-20180123	CRC.P0123_C000091:14	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC191-20180123	CRC.P0123_C000091:14	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC126-20180123	CRC.P0123_C000091:14	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC107-20180123	CRC.P0123_C000091:14	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC10-20180123	CRC.P0123_C000091:14	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTR164-20180123	CRC.P0123_C000092:5	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR102-20180123	CRC.P0123_C000092:5	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TP720-20180123	CRC.P0123_C000092:5	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TTR189-20180123	CRC.P0123_C000092:5	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
NTR47-20180123	CRC.P0123_C000093:1	NoClonal	P0123	NTR	CD4	CD4_C05-CXCR6	N
TTR68-20180123	CRC.P0123_C000096:5	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR139-20180123	CRC.P0123_C000096:5	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TP7188-20180123	CRC.P0123_C000096:5	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TTR3-20180123	CRC.P0123_C000096:5	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
NTC44-20180123	CRC.P0123_C000097:1	NoClonal	P0123	NTC	CD8	CD8_C05-CD6	N
TP74-20180123	CRC.P0123_C000098:1	NoClonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TTR182-20180123	CRC.P0123_C000099:11	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TP711-20180123	CRC.P0123_C000099:11	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TP7125-20180123	CRC.P0123_C000099:11	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TTR150-20180123	CRC.P0123_C000099:11	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR90-20180123	CRC.P0123_C000099:11	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TP7169-20180123	CRC.P0123_C000099:11	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TP7116-20180123	CRC.P0123_C000099:11	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TP736-20180123	CRC.P0123_C000099:11	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TTR137-20180123	CRC.P0123_C000099:11	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR190-20180123	CRC.P0123_C000099:11	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTH7-20180123	CRC.P0123_C000101:2	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TP782-20180123	CRC.P0123_C000101:2	Clonal	P0123	TP7	CD4	CD4_C07-GZMK	T
PP7-103-20180123	CRC.P0123_C000102:1	NoClonal	P0123	PP7	CD4	CD4_C01-CCR7	P
PTR17-20180123	CRC.P0123_C000103:1	NoClonal	P0123	PTR	CD4	CD4_C10-FOXP3	P
TTR186-20180123	CRC.P0123_C000104:3	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR33-20180123	CRC.P0123_C000104:3	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
NP788-20180123	CRC.P0123_C000105:1	NoClonal	P0123	NP7	CD4	CD4_C04-TCF7	N
PTH1-20180123	CRC.P0123_C000107:1	NoClonal	P0123	PTH	CD4	CD4_C01-CCR7	P
NTC111-20180123	CRC.P0123_C000108:2	Clonal	P0123	NTC	CD8	CD8_C05-CD6	N
NTC97-20180123	CRC.P0123_C000108:2	Clonal	P0123	NTC	CD8	CD8_C05-CD6	N
PTC78-20180123	CRC.P0123_C000110:3	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC95-20180123	CRC.P0123_C000110:3	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
PTC69-20180123	CRC.P0123_C000110:3	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
NP743-20180123	CRC.P0123_C000112:1	NoClonal	P0123	NP7	CD4	CD4_C04-TCF7	N
PTH5-20180123	CRC.P0123_C000113:1	NoClonal	P0123	PTH	CD4	CD4_C07-GZMK	P
PTH10-20180123	CRC.P0123_C000117:1	NoClonal	P0123	PTH	CD4	CD4_C02-ANXA1	P
NTH15-20180123	CRC.P0123_C000118:1	NoClonal	P0123	NTH	CD4	CD4_C06-CXCR5	N
NTR3-20180123	CRC.P0123_C000119:1	NoClonal	P0123	NTR	CD4	CD4_C11-IL10	N
PTR15-20180123	CRC.P0123_C000120:3	Clonal	P0123	PTR	CD4	CD4_C10-FOXP3	P
TTR116-20180123	CRC.P0123_C000120:3	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR50-20180123	CRC.P0123_C000120:3	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
PP7-130-20180123	CRC.P0123_C000122:1	NoClonal	P0123	PP7	CD4	CD4_C02-ANXA1	P
TP7184-20180123	CRC.P0123_C000124:1	NoClonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
NTH14-20180123	CRC.P0123_C000125:1	NoClonal	P0123	NTH	CD4	CD4_C04-TCF7	N
PTH44-20180123	CRC.P0123_C000126:1	NoClonal	P0123	PTH	CD4	CD4_C01-CCR7	P
PP7-190-20180123	CRC.P0123_C000129:1	NoClonal	P0123	PP7	CD4	CD4_C01-CCR7	P
NTC184-20180123	CRC.P0123_C000130:1	NoClonal	P0123	NTC	CD8	CD8_C05-CD6	N
TTC59-20180123	CRC.P0123_C000131:6	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC190-20180123	CRC.P0123_C000131:6	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC113-20180123	CRC.P0123_C000131:6	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC104-20180123	CRC.P0123_C000131:6	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC169-20180123	CRC.P0123_C000131:6	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TP732-20180123	CRC.P0123_C000133:1	NoClonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
