Cell_Name	clone.id	clone.status	patient	sampleType	stype	majorCluster	loc
TTH27-20180309	CRC.P0309_C000406:1	NoClonal	P0309	TTH	CD4	CD4_C05-CXCR6	T
TTC3-20180309	CRC.P0309_C000407:1	NoClonal	P0309	TTC	CD8	CD8_C06-CD160	T
TTC31-20180309	CRC.P0309_C000408:2	Clonal	P0309	TTC	CD8	CD8_C05-CD6	T
TTC27-20180309	CRC.P0309_C000408:2	Clonal	P0309	TTC	CD8	CD8_C05-CD6	T
PTR82-20180309	CRC.P0309_C000409:1	NoClonal	P0309	PTR	CD4	CD4_C10-FOXP3	P
TTC101-20180309	CRC.P0309_C000410:1	NoClonal	P0309	TTC	CD8	CD8_C05-CD6	T
TTC33-20180309	CRC.P0309_C000412:1	NoClonal	P0309	TTC	CD8	CD8_C05-CD6	T
PTH87-20180309	CRC.P0309_C000414:1	NoClonal	P0309	PTH	CD4	CD4_C02-ANXA1	P
TP771-20180309	CRC.P0309_C000415:1	NoClonal	P0309	TP7	CD4	CD4_C08-IL23R	T
TTR20-20180309	CRC.P0309_C000416:1	NoClonal	P0309	TTR	CD4	CD4_C12-CTLA4	T
PTC76-20180309	CRC.P0309_C000417:1	NoClonal	P0309	PTC	CD8	CD8_C01-LEF1	P
TTC20-20180309	CRC.P0309_C000419:1	NoClonal	P0309	TTC	CD8	CD8_C04-GZMK	T
PP722-20180309	CRC.P0309_C000420:1	NoClonal	P0309	PP7	CD4	CD4_C01-CCR7	P
TTH54-20180309	CRC.P0309_C000421:1	NoClonal	P0309	TTH	CD4	CD4_C05-CXCR6	T
PP719-20180309	CRC.P0309_C000422:1	NoClonal	P0309	PP7	CD4	CD4_C02-ANXA1	P
TP714-20180309	CRC.P0309_C000423:1	NoClonal	P0309	TP7	CD4	CD4_C12-CTLA4	T
TTC152-20180309	CRC.P0309_C000424:1	NoClonal	P0309	TTC	CD8	CD8_C05-CD6	T
TTH42-20180309	CRC.P0309_C000425:1	NoClonal	P0309	TTH	CD4	CD4_C06-CXCR5	T
PTC38-20180309	CRC.P0309_C000426:1	NoClonal	P0309	PTC	CD8	CD8_C01-LEF1	P
TTC57-20180309	CRC.P0309_C000430:1	NoClonal	P0309	TTC	CD8	CD8_C05-CD6	T
TTH28-20180309	CRC.P0309_C000431:1	NoClonal	P0309	TTH	CD4	CD4_C05-CXCR6	T
PTR64-20180309	CRC.P0309_C000432:1	NoClonal	P0309	PTR	CD4	CD4_C02-ANXA1	P
PTR31-20180309	CRC.P0309_C000434:1	NoClonal	P0309	PTR	CD4	CD4_C10-FOXP3	P
TTH127-20180309	CRC.P0309_C000435:1	NoClonal	P0309	TTH	CD4	CD4_C04-TCF7	T
PTH57-20180309	CRC.P0309_C000438:1	NoClonal	P0309	PTH	CD4	CD4_C01-CCR7	P
PTR92-20180309	CRC.P0309_C000439:1	NoClonal	P0309	PTR	CD4	CD4_C01-CCR7	P
TTH35-20180309	CRC.P0309_C000440:1	NoClonal	P0309	TTH	CD4	CD4_C04-TCF7	T
PTR52-20180309	CRC.P0309_C000441:1	NoClonal	P0309	PTR	CD4	CD4_C02-ANXA1	P
PTC87-20180309	CRC.P0309_C000442:1	NoClonal	P0309	PTC	CD8	CD8_C03-CX3CR1	P
TP783-20180309	CRC.P0309_C000444:1	NoClonal	P0309	TP7	CD4	CD4_C12-CTLA4	T
PTC3-20180309	CRC.P0309_C000445:1	NoClonal	P0309	PTC	CD8	CD8_C02-GPR183	P
PTR1-20180309	CRC.P0309_C000446:1	NoClonal	P0309	PTR	CD4	CD4_C10-FOXP3	P
PTC4-20180309	CRC.P0309_C000447:1	NoClonal	P0309	PTC	CD8	CD8_C03-CX3CR1	P
PTC90-20180309	CRC.P0309_C000448:1	NoClonal	P0309	PTC	CD8	CD8_C01-LEF1	P
TTC64-20180309	CRC.P0309_C000450:1	NoClonal	P0309	TTC	CD8	CD8_C06-CD160	T
PTR53-20180309	CRC.P0309_C000451:1	NoClonal	P0309	PTR	CD4	CD4_C10-FOXP3	P
PTH22-20180309	CRC.P0309_C000452:1	NoClonal	P0309	PTH	CD4	CD4_C01-CCR7	P
PTH23-20180309	CRC.P0309_C000457:1	NoClonal	P0309	PTH	CD4	CD4_C03-GNLY	P
PTC21-20180309	CRC.P0309_C000458:1	NoClonal	P0309	PTC	CD8	CD8_C03-CX3CR1	P
PTH91-20180309	CRC.P0309_C000463:1	NoClonal	P0309	PTH	CD4	CD4_C01-CCR7	P
TTC72-20180309	CRC.P0309_C000465:1	NoClonal	P0309	TTC	CD8	CD8_C04-GZMK	T
TTH91-20180309	CRC.P0309_C000466:1	NoClonal	P0309	TTH	CD4	CD4_C04-TCF7	T
PTH41-20180309	CRC.P0309_C000468:1	NoClonal	P0309	PTH	CD4	CD4_C01-CCR7	P
TTH46-20180309	CRC.P0309_C000469:1	NoClonal	P0309	TTH	CD4	CD4_C06-CXCR5	T
TTR11-20180309	CRC.P0309_C000470:1	NoClonal	P0309	TTR	CD4	CD4_C12-CTLA4	T
PTH75-20180309	CRC.P0309_C000471:1	NoClonal	P0309	PTH	CD4	CD4_C01-CCR7	P
PTR68-20180309	CRC.P0309_C000472:1	NoClonal	P0309	PTR	CD4	CD4_C10-FOXP3	P
TTC84-20180309	CRC.P0309_C000475:1	NoClonal	P0309	TTC	CD8	CD8_C05-CD6	T
PTR55-20180309	CRC.P0309_C000476:1	NoClonal	P0309	PTR	CD4	CD4_C10-FOXP3	P
TP792-20180309	CRC.P0309_C000477:1	NoClonal	P0309	TP7	CD4	CD4_C12-CTLA4	T
PTC6-20180309	CRC.P0309_C000482:1	NoClonal	P0309	PTC	CD8	CD8_C01-LEF1	P
TTR78-20180309	CRC.P0309_C000483:1	NoClonal	P0309	TTR	CD4	CD4_C12-CTLA4	T
TTC105-20180309	CRC.P0309_C000485:1	NoClonal	P0309	TTC	CD8	CD8_C04-GZMK	T
TTH82-20180309	CRC.P0309_C000487:1	NoClonal	P0309	TTH	CD4	CD4_C04-TCF7	T
PTH24-20180309	CRC.P0309_C000489:1	NoClonal	P0309	PTH	CD4	CD4_C01-CCR7	P
TTH72-20180309	CRC.P0309_C000490:1	NoClonal	P0309	TTH	CD4	CD4_C08-IL23R	T
PTR71-20180309	CRC.P0309_C000492:1	NoClonal	P0309	PTR	CD4	CD4_C10-FOXP3	P
TP723-20180309	CRC.P0309_C000493:1	NoClonal	P0309	TP7	CD4	CD4_C04-TCF7	T
TTR6-20180309	CRC.P0309_C000495:1	NoClonal	P0309	TTR	CD4	CD4_C12-CTLA4	T
TTC112-20180309	CRC.P0309_C000498:1	NoClonal	P0309	TTC	CD8	CD8_C03-CX3CR1	T
TTR21-20180309	CRC.P0309_C000500:1	NoClonal	P0309	TTR	CD4	CD4_C12-CTLA4	T
TTR52-20180309	CRC.P0309_C000501:1	NoClonal	P0309	TTR	CD4	CD4_C12-CTLA4	T
PTR22-20180309	CRC.P0309_C000502:1	NoClonal	P0309	PTR	CD4	CD4_C02-ANXA1	P
TTH66-20180309	CRC.P0309_C000506:1	NoClonal	P0309	TTH	CD4	CD4_C07-GZMK	T
PTH25-20180309	CRC.P0309_C000507:1	NoClonal	P0309	PTH	CD4	CD4_C01-CCR7	P
TTR89-20180309	CRC.P0309_C000510:1	NoClonal	P0309	TTR	CD4	CD4_C12-CTLA4	T
TTH149-20180309	CRC.P0309_C000511:1	NoClonal	P0309	TTH	CD4	CD4_C05-CXCR6	T
TTC97-20180309	CRC.P0309_C000512:1	NoClonal	P0309	TTC	CD8	CD8_C04-GZMK	T
PTH69-20180309	CRC.P0309_C000513:1	NoClonal	P0309	PTH	CD4	CD4_C01-CCR7	P
PTR93-20180309	CRC.P0309_C000515:1	NoClonal	P0309	PTR	CD4	CD4_C10-FOXP3	P
TTH128-20180309	CRC.P0309_C000516:1	NoClonal	P0309	TTH	CD4	CD4_C08-IL23R	T
TTH100-20180309	CRC.P0309_C000520:1	NoClonal	P0309	TTH	CD4	CD4_C04-TCF7	T
TTH33-20180309	CRC.P0309_C000521:1	NoClonal	P0309	TTH	CD4	CD4_C05-CXCR6	T
PTH67-20180309	CRC.P0309_C000523:1	NoClonal	P0309	PTH	CD4	CD4_C02-ANXA1	P
PTR85-20180309	CRC.P0309_C000524:1	NoClonal	P0309	PTR	CD4	CD4_C10-FOXP3	P
TP776-20180309	CRC.P0309_C000525:1	NoClonal	P0309	TP7	CD4	CD4_C12-CTLA4	T
TTH16-20180309	CRC.P0309_C000527:1	NoClonal	P0309	TTH	CD4	CD4_C08-IL23R	T
PTC93-20170411	CRC.P0411_C000002:7	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC77-20170411	CRC.P0411_C000002:7	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC16-20170411	CRC.P0411_C000002:7	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
NTH11-20170411	CRC.P0411_C000004:1	NoClonal	P0411	NTH	CD4	CD4_C06-CXCR5	N
TTC96-20170411	CRC.P0411_C000002:7	Clonal	P0411	TTC	CD8	CD8_C04-GZMK	T
NTC61-20170411	CRC.P0411_C000002:7	Clonal	P0411	NTC	CD8	CD8_C04-GZMK	N
PTC71-20170411	CRC.P0411_C000002:7	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
TTR32-20170411	CRC.P0411_C000005:1	NoClonal	P0411	TTR	CD4	CD4_C12-CTLA4	T
TTR28-20170411	CRC.P0411_C000007:1	NoClonal	P0411	TTR	CD4	CD4_C12-CTLA4	T
PTC68-20170411	CRC.P0411_C000008:12	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC62-20170411	CRC.P0411_C000008:12	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC3-20170411	CRC.P0411_C000008:12	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC48-20170411	CRC.P0411_C000008:12	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC61-20170411	CRC.P0411_C000008:12	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC44-20170411	CRC.P0411_C000008:12	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC30-20170411	CRC.P0411_C000008:12	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC59-20170411	CRC.P0411_C000008:12	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC43-20170411	CRC.P0411_C000008:12	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC50-20170411	CRC.P0411_C000008:12	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC63-20170411	CRC.P0411_C000008:12	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC74-20170411	CRC.P0411_C000008:12	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
TTR4-20170411	CRC.P0411_C000011:1	NoClonal	P0411	TTR	CD4	CD4_C08-IL23R	T
TTC77-20170411	CRC.P0411_C000012:7	Clonal	P0411	TTC	CD8	CD8_C04-GZMK	T
NTC63-20170411	CRC.P0411_C000012:7	Clonal	P0411	NTC	CD8	CD8_C04-GZMK	N
NTC96-20170411	CRC.P0411_C000012:7	Clonal	P0411	NTC	CD8	CD8_C04-GZMK	N
NTC130-20170411	CRC.P0411_C000012:7	Clonal	P0411	NTC	CD8	CD8_C04-GZMK	N
TTC70-20170411	CRC.P0411_C000012:7	Clonal	P0411	TTC	CD8	CD8_C04-GZMK	T
TTC5-20170411	CRC.P0411_C000012:7	Clonal	P0411	TTC	CD8	CD8_C04-GZMK	T
TTC54-20170411	CRC.P0411_C000012:7	Clonal	P0411	TTC	CD8	CD8_C04-GZMK	T
NTC88-20170411	CRC.P0411_C000015:1	NoClonal	P0411	NTC	CD8	CD8_C04-GZMK	N
TTC4-20170411	CRC.P0411_C000016:3	Clonal	P0411	TTC	CD8	CD8_C04-GZMK	T
TTC38-20170411	CRC.P0411_C000016:3	Clonal	P0411	TTC	CD8	CD8_C04-GZMK	T
TTH85-20170411	CRC.P0411_C000017:1	NoClonal	P0411	TTH	CD4	CD4_C12-CTLA4	T
TTR41-20170411	CRC.P0411_C000018:1	NoClonal	P0411	TTR	CD4	CD4_C08-IL23R	T
TTH13-20170411	CRC.P0411_C000019:2	Clonal	P0411	TTH	CD4	CD4_C08-IL23R	T
TTH26-20170411	CRC.P0411_C000019:2	Clonal	P0411	TTH	CD4	CD4_C08-IL23R	T
TTR15-20170411	CRC.P0411_C000020:1	NoClonal	P0411	TTR	CD4	CD4_C12-CTLA4	T
NTC79-20170411	CRC.P0411_C000021:1	NoClonal	P0411	NTC	CD8	CD8_C05-CD6	N
PTC88-20170411	CRC.P0411_C000022:13	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
TTC78-20170411	CRC.P0411_C000022:13	Clonal	P0411	TTC	CD8	CD8_C04-GZMK	T
PTC37-20170411	CRC.P0411_C000022:13	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC80-20170411	CRC.P0411_C000022:13	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC87-20170411	CRC.P0411_C000022:13	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC25-20170411	CRC.P0411_C000022:13	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
TTC64-20170411	CRC.P0411_C000022:13	Clonal	P0411	TTC	CD8	CD8_C04-GZMK	T
PTC81-20170411	CRC.P0411_C000022:13	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC28-20170411	CRC.P0411_C000022:13	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC78-20170411	CRC.P0411_C000022:13	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
PTC47-20170411	CRC.P0411_C000022:13	Clonal	P0411	PTC	CD8	CD8_C03-CX3CR1	P
